test %,seed,h_size,l_rate,val %
81.82,14,18,0.000886,50.0
81.82,14,18,0.00113,50.0
81.82,14,18,0.001,46.67
81.82,14,18,0.00144,50.0
72.73,14,18,0.00183,50.0
72.73,14,18,0.00234,50.0
72.73,14,18,0.00297,50.0
72.73,14,18,0.00379,50.0
72.73,15,6,0.00144,40.0
72.73,15,6,0.00183,40.0
72.73,15,6,0.00234,40.0
72.73,15,6,0.00297,40.0
72.73,15,6,0.00379,40.0
72.73,15,6,0.00483,40.0
72.73,15,6,0.00615,43.33
72.73,15,8,0.00379,40.0
72.73,15,8,0.00483,40.0
72.73,15,18,0.000264,60.0
72.73,15,18,0.000336,60.0
72.73,15,18,0.000428,60.0
72.73,15,18,0.000546,60.0
72.73,15,18,0.000695,60.0
72.73,15,18,0.000886,56.67
72.73,15,18,0.00113,60.0
72.73,15,18,0.001,56.67
72.73,15,18,0.00144,56.67
72.73,15,18,0.00183,53.33
72.73,15,18,0.00234,53.33
72.73,15,18,0.00297,53.33
72.73,15,18,0.00379,50.0
72.73,15,18,0.00483,50.0
72.73,16,8,0.00483,60.0
72.73,16,18,0.00234,40.0
72.73,16,18,0.00297,40.0
72.73,16,18,0.00379,40.0
72.73,17,16,0.00784,50.0
72.73,18,14,0.00183,56.67
72.73,19,8,0.0001,53.33
72.73,19,8,0.000127,53.33
72.73,19,8,0.000162,53.33
72.73,19,8,0.000207,53.33
72.73,19,8,0.000264,53.33
72.73,19,8,0.000336,53.33
72.73,19,8,0.000428,53.33
72.73,19,8,0.000546,53.33
72.73,19,8,0.000695,53.33
72.73,19,8,0.000886,53.33
72.73,19,8,0.00113,53.33
72.73,19,8,0.001,53.33
81.82,19,8,0.00144,50.0
81.82,19,8,0.00183,50.0
81.82,19,8,0.00234,50.0
81.82,19,8,0.00297,56.67
72.73,19,20,0.000207,60.0
72.73,19,20,0.000264,60.0
72.73,19,20,0.000336,60.0
72.73,19,20,0.000428,60.0
72.73,19,20,0.000546,60.0
72.73,19,20,0.000695,60.0
81.82,19,20,0.000886,60.0
81.82,19,20,0.00113,63.33
