seed,val %,test %,h_size,l_rate
7,53.33,63.64,2,0.0001
7,53.33,63.64,2,0.000127
7,53.33,63.64,2,0.000162
7,53.33,63.64,2,0.000207
7,53.33,63.64,2,0.000264
7,53.33,63.64,2,0.000336
7,53.33,63.64,2,0.000428
7,53.33,63.64,2,0.000546
7,66.67,63.64,2,0.000695
7,66.67,63.64,2,0.000886
7,66.67,63.64,2,0.00113
7,66.67,63.64,2,0.001
7,66.67,63.64,2,0.00144
7,66.67,63.64,2,0.00183
7,66.67,63.64,2,0.00234
7,66.67,63.64,2,0.00297
7,66.67,63.64,2,0.00379
7,66.67,63.64,2,0.00483
7,63.33,63.64,2,0.00615
7,63.33,63.64,2,0.00784
7,63.33,63.64,2,0.01
7,43.33,45.45,4,0.0001
7,43.33,45.45,4,0.000127
7,43.33,45.45,4,0.000162
7,43.33,45.45,4,0.000207
7,43.33,45.45,4,0.000264
7,43.33,45.45,4,0.000336
7,43.33,45.45,4,0.000428
7,43.33,45.45,4,0.000546
7,43.33,45.45,4,0.000695
7,43.33,45.45,4,0.000886
7,43.33,45.45,4,0.00113
7,43.33,45.45,4,0.001
7,43.33,45.45,4,0.00144
7,60.00,45.45,4,0.00183
7,60.00,45.45,4,0.00234
7,56.67,45.45,4,0.00297
7,60.00,45.45,4,0.00379
7,56.67,45.45,4,0.00483
7,56.67,54.55,4,0.00615
7,56.67,54.55,4,0.00784
7,40.00,54.55,4,0.01
7,46.67,63.64,6,0.0001
7,46.67,63.64,6,0.000127
7,46.67,63.64,6,0.000162
7,46.67,63.64,6,0.000207
7,46.67,63.64,6,0.000264
7,43.33,63.64,6,0.000336
7,43.33,63.64,6,0.000428
7,43.33,63.64,6,0.000546
7,43.33,63.64,6,0.000695
7,43.33,63.64,6,0.000886
7,43.33,63.64,6,0.00113
7,43.33,63.64,6,0.001
7,43.33,63.64,6,0.00144
7,46.67,72.73,6,0.00183
7,46.67,81.82,6,0.00234
7,50.00,81.82,6,0.00297
7,46.67,72.73,6,0.00379
7,46.67,72.73,6,0.00483
7,50.00,81.82,6,0.00615
7,50.00,81.82,6,0.00784
7,46.67,81.82,6,0.01
7,43.33,54.55,8,0.0001
7,43.33,54.55,8,0.000127
7,43.33,54.55,8,0.000162
7,43.33,54.55,8,0.000207
7,43.33,54.55,8,0.000264
7,43.33,54.55,8,0.000336
7,43.33,54.55,8,0.000428
7,43.33,54.55,8,0.000546
7,43.33,54.55,8,0.000695
7,43.33,54.55,8,0.000886
7,50.00,63.64,8,0.00113
7,43.33,54.55,8,0.001
7,50.00,63.64,8,0.00144
7,50.00,63.64,8,0.00183
7,50.00,63.64,8,0.00234
7,50.00,63.64,8,0.00297
7,50.00,63.64,8,0.00379
7,53.33,54.55,8,0.00483
7,43.33,54.55,8,0.00615
7,50.00,45.45,8,0.00784
7,50.00,45.45,8,0.01
7,46.67,54.55,10,0.0001
7,43.33,54.55,10,0.000127
7,43.33,54.55,10,0.000162
7,43.33,54.55,10,0.000207
7,43.33,54.55,10,0.000264
7,43.33,54.55,10,0.000336
7,43.33,54.55,10,0.000428
7,43.33,54.55,10,0.000546
7,43.33,54.55,10,0.000695
7,43.33,54.55,10,0.000886
7,43.33,54.55,10,0.00113
7,43.33,54.55,10,0.001
7,43.33,54.55,10,0.00144
7,43.33,54.55,10,0.00183
7,46.67,45.45,10,0.00234
7,46.67,45.45,10,0.00297
7,50.00,45.45,10,0.00379
7,46.67,45.45,10,0.00483
7,50.00,45.45,10,0.00615
7,40.00,45.45,10,0.00784
7,40.00,45.45,10,0.01
7,53.33,36.36,12,0.0001
7,53.33,36.36,12,0.000127
7,53.33,36.36,12,0.000162
7,53.33,36.36,12,0.000207
7,53.33,36.36,12,0.000264
7,53.33,36.36,12,0.000336
7,53.33,36.36,12,0.000428
7,53.33,36.36,12,0.000546
7,53.33,36.36,12,0.000695
7,53.33,36.36,12,0.000886
7,46.67,36.36,12,0.00113
7,53.33,36.36,12,0.001
7,46.67,36.36,12,0.00144
7,50.00,45.45,12,0.00183
7,50.00,45.45,12,0.00234
7,53.33,45.45,12,0.00297
7,50.00,27.27,12,0.00379
7,50.00,27.27,12,0.00483
7,53.33,36.36,12,0.00615
7,60.00,27.27,12,0.00784
7,60.00,27.27,12,0.01
7,50.00,63.64,14,0.0001
7,50.00,63.64,14,0.000127
7,50.00,63.64,14,0.000162
7,50.00,63.64,14,0.000207
7,50.00,63.64,14,0.000264
7,50.00,63.64,14,0.000336
7,50.00,63.64,14,0.000428
7,50.00,63.64,14,0.000546
7,50.00,63.64,14,0.000695
7,50.00,63.64,14,0.000886
7,50.00,63.64,14,0.00113
7,50.00,63.64,14,0.001
7,50.00,63.64,14,0.00144
7,50.00,63.64,14,0.00183
7,46.67,54.55,14,0.00234
7,46.67,54.55,14,0.00297
7,46.67,54.55,14,0.00379
7,50.00,54.55,14,0.00483
7,46.67,54.55,14,0.00615
7,50.00,63.64,14,0.00784
7,46.67,45.45,14,0.01
7,46.67,36.36,16,0.0001
7,50.00,36.36,16,0.000127
7,50.00,36.36,16,0.000162
7,50.00,36.36,16,0.000207
7,50.00,36.36,16,0.000264
7,46.67,45.45,16,0.000336
7,46.67,45.45,16,0.000428
7,46.67,45.45,16,0.000546
7,46.67,45.45,16,0.000695
7,46.67,45.45,16,0.000886
7,46.67,45.45,16,0.00113
7,46.67,45.45,16,0.001
7,46.67,45.45,16,0.00144
7,46.67,45.45,16,0.00183
7,46.67,45.45,16,0.00234
7,43.33,54.55,16,0.00297
7,40.00,45.45,16,0.00379
7,43.33,45.45,16,0.00483
7,46.67,45.45,16,0.00615
7,40.00,45.45,16,0.00784
7,46.67,36.36,16,0.01
7,50.00,45.45,18,0.0001
7,50.00,45.45,18,0.000127
7,50.00,45.45,18,0.000162
7,50.00,45.45,18,0.000207
7,50.00,45.45,18,0.000264
7,50.00,45.45,18,0.000336
7,50.00,45.45,18,0.000428
7,50.00,45.45,18,0.000546
