seed,val %,test %,h_size,l_rate
10,43.33,45.45,2,0.0001
10,43.33,45.45,2,0.000127
10,43.33,45.45,2,0.000162
10,43.33,45.45,2,0.000207
10,43.33,45.45,2,0.000264
10,43.33,45.45,2,0.000336
10,56.67,45.45,2,0.000428
10,56.67,45.45,2,0.000546
10,56.67,45.45,2,0.000695
10,56.67,45.45,2,0.000886
10,56.67,45.45,2,0.00113
10,56.67,45.45,2,0.001
10,56.67,45.45,2,0.00144
10,56.67,45.45,2,0.00183
10,53.33,45.45,2,0.00234
10,53.33,45.45,2,0.00297
10,56.67,45.45,2,0.00379
10,53.33,45.45,2,0.00483
10,53.33,45.45,2,0.00615
10,53.33,54.55,2,0.00784
10,53.33,54.55,2,0.01
10,50.00,72.73,4,0.0001
10,50.00,72.73,4,0.000127
10,50.00,72.73,4,0.000162
10,50.00,72.73,4,0.000207
10,50.00,72.73,4,0.000264
10,50.00,72.73,4,0.000336
10,53.33,63.64,4,0.000428
10,53.33,63.64,4,0.000546
10,53.33,63.64,4,0.000695
10,53.33,63.64,4,0.000886
10,53.33,63.64,4,0.00113
10,53.33,63.64,4,0.001
10,53.33,63.64,4,0.00144
10,53.33,63.64,4,0.00183
10,50.00,72.73,4,0.00234
10,53.33,63.64,4,0.00297
10,53.33,63.64,4,0.00379
10,56.67,63.64,4,0.00483
10,56.67,54.55,4,0.00615
10,60.00,54.55,4,0.00784
10,56.67,63.64,4,0.01
10,60.00,54.55,6,0.0001
10,60.00,54.55,6,0.000127
10,60.00,54.55,6,0.000162
10,60.00,54.55,6,0.000207
10,60.00,54.55,6,0.000264
10,60.00,54.55,6,0.000336
10,60.00,54.55,6,0.000428
10,56.67,72.73,6,0.000546
10,56.67,72.73,6,0.000695
10,56.67,72.73,6,0.000886
10,56.67,72.73,6,0.00113
10,56.67,72.73,6,0.001
10,56.67,72.73,6,0.00144
10,56.67,72.73,6,0.00183
10,56.67,72.73,6,0.00234
10,56.67,72.73,6,0.00297
10,56.67,72.73,6,0.00379
10,56.67,72.73,6,0.00483
10,46.67,63.64,6,0.00615
10,46.67,63.64,6,0.00784
10,36.67,63.64,6,0.01
10,56.67,45.45,8,0.0001
10,56.67,45.45,8,0.000127
10,56.67,45.45,8,0.000162
10,56.67,45.45,8,0.000207
10,56.67,45.45,8,0.000264
10,56.67,45.45,8,0.000336
10,50.00,45.45,8,0.000428
10,50.00,54.55,8,0.000546
10,50.00,54.55,8,0.000695
10,50.00,54.55,8,0.000886
10,50.00,54.55,8,0.00113
10,50.00,54.55,8,0.001
10,50.00,54.55,8,0.00144
10,50.00,54.55,8,0.00183
10,50.00,54.55,8,0.00234
10,53.33,54.55,8,0.00297
10,50.00,54.55,8,0.00379
10,50.00,54.55,8,0.00483
10,50.00,54.55,8,0.00615
10,46.67,54.55,8,0.00784
10,43.33,54.55,8,0.01
10,60.00,63.64,10,0.0001
10,60.00,63.64,10,0.000127
10,60.00,63.64,10,0.000162
10,56.67,63.64,10,0.000207
10,56.67,63.64,10,0.000264
10,56.67,63.64,10,0.000336
10,56.67,63.64,10,0.000428
10,56.67,63.64,10,0.000546
10,56.67,63.64,10,0.000695
10,56.67,63.64,10,0.000886
10,56.67,63.64,10,0.00113
10,56.67,63.64,10,0.001
10,56.67,63.64,10,0.00144
10,56.67,63.64,10,0.00183
10,56.67,54.55,10,0.00234
10,50.00,72.73,10,0.00297
10,46.67,63.64,10,0.00379
10,50.00,63.64,10,0.00483
10,46.67,63.64,10,0.00615
10,43.33,63.64,10,0.00784
10,36.67,63.64,10,0.01
10,53.33,45.45,12,0.0001
10,53.33,45.45,12,0.000127
10,53.33,45.45,12,0.000162
10,53.33,45.45,12,0.000207
10,53.33,45.45,12,0.000264
10,53.33,45.45,12,0.000336
10,53.33,45.45,12,0.000428
10,53.33,45.45,12,0.000546
10,53.33,45.45,12,0.000695
10,53.33,45.45,12,0.000886
10,50.00,45.45,12,0.00113
10,50.00,45.45,12,0.001
10,46.67,45.45,12,0.00144
10,43.33,54.55,12,0.00183
10,43.33,54.55,12,0.00234
10,40.00,54.55,12,0.00297
10,43.33,63.64,12,0.00379
10,43.33,54.55,12,0.00483
10,43.33,54.55,12,0.00615
10,46.67,63.64,12,0.00784
10,43.33,54.55,12,0.01
10,36.67,27.27,14,0.0001
10,46.67,27.27,14,0.000127
10,46.67,27.27,14,0.000162
10,46.67,27.27,14,0.000207
10,46.67,27.27,14,0.000264
10,46.67,27.27,14,0.000336
10,46.67,27.27,14,0.000428
10,46.67,27.27,14,0.000546
10,46.67,27.27,14,0.000695
10,46.67,27.27,14,0.000886
10,46.67,27.27,14,0.00113
10,46.67,27.27,14,0.001
10,46.67,27.27,14,0.00144
10,46.67,27.27,14,0.00183
10,43.33,36.36,14,0.00234
10,36.67,54.55,14,0.00297
10,40.00,54.55,14,0.00379
10,36.67,54.55,14,0.00483
10,40.00,45.45,14,0.00615
10,46.67,45.45,14,0.00784
10,40.00,54.55,14,0.01
10,66.67,63.64,16,0.0001
10,66.67,63.64,16,0.000127
10,70.00,63.64,16,0.000162
10,70.00,63.64,16,0.000207
10,70.00,63.64,16,0.000264
10,70.00,63.64,16,0.000336
10,70.00,63.64,16,0.000428
10,70.00,63.64,16,0.000546
10,70.00,72.73,16,0.000695
10,70.00,72.73,16,0.000886
10,66.67,72.73,16,0.00113
10,70.00,72.73,16,0.001
10,70.00,72.73,16,0.00144
10,70.00,72.73,16,0.00183
10,66.67,72.73,16,0.00234
10,63.33,72.73,16,0.00297
10,56.67,72.73,16,0.00379
10,50.00,63.64,16,0.00483
10,40.00,54.55,16,0.00615
10,36.67,54.55,16,0.00784
10,43.33,54.55,16,0.01
10,43.33,54.55,18,0.0001
10,43.33,45.45,18,0.000127
10,43.33,45.45,18,0.000162
10,43.33,45.45,18,0.000207
10,43.33,45.45,18,0.000264
10,43.33,45.45,18,0.000336
10,50.00,72.73,18,0.000428
10,46.67,72.73,18,0.000546
10,46.67,72.73,18,0.000695
10,43.33,45.45,18,0.000886
10,46.67,72.73,18,0.00113
10,50.00,72.73,18,0.001
10,53.33,72.73,18,0.00144
10,53.33,72.73,18,0.00183
10,53.33,72.73,18,0.00234
10,50.00,72.73,18,0.00297
10,46.67,72.73,18,0.00379
10,53.33,81.82,18,0.00483
10,50.00,81.82,18,0.00615
10,43.33,72.73,18,0.00784
10,36.67,72.73,18,0.01
10,50.00,63.64,20,0.0001
10,50.00,63.64,20,0.000127
10,53.33,63.64,20,0.000162
10,53.33,63.64,20,0.000207
10,56.67,54.55,20,0.000264
10,56.67,54.55,20,0.000336
10,56.67,54.55,20,0.000428
10,53.33,54.55,20,0.000546
10,53.33,54.55,20,0.000695
10,56.67,54.55,20,0.000886
10,50.00,63.64,20,0.00113
10,53.33,63.64,20,0.001
10,53.33,54.55,20,0.00144
10,50.00,63.64,20,0.00183
10,56.67,54.55,20,0.00234
10,53.33,63.64,20,0.00297
10,50.00,72.73,20,0.00379
10,33.33,63.64,20,0.00483
10,33.33,63.64,20,0.00615
10,46.67,63.64,20,0.00784
10,33.33,45.45,20,0.01
