seed,val %,test %,h_size,l_rate
6,40.00,45.45,2,0.0001
6,40.00,45.45,2,0.000127
6,40.00,45.45,2,0.000162
6,40.00,45.45,2,0.000207
6,40.00,45.45,2,0.000264
6,36.67,36.36,2,0.000336
6,36.67,36.36,2,0.000428
6,36.67,45.45,2,0.000546
6,36.67,36.36,2,0.000695
6,36.67,36.36,2,0.000886
6,36.67,36.36,2,0.00113
6,36.67,36.36,2,0.001
6,36.67,36.36,2,0.00144
6,36.67,36.36,2,0.00183
6,36.67,36.36,2,0.00234
6,40.00,36.36,2,0.00297
6,43.33,36.36,2,0.00379
6,40.00,27.27,2,0.00483
6,43.33,36.36,2,0.00615
6,40.00,27.27,2,0.00784
6,40.00,27.27,2,0.01
6,50.00,36.36,4,0.0001
6,50.00,36.36,4,0.000127
6,50.00,36.36,4,0.000162
6,50.00,36.36,4,0.000207
6,50.00,36.36,4,0.000264
6,50.00,36.36,4,0.000336
6,50.00,36.36,4,0.000428
6,53.33,36.36,4,0.000546
6,53.33,45.45,4,0.000695
6,53.33,45.45,4,0.000886
6,53.33,45.45,4,0.00113
6,53.33,36.36,4,0.001
6,50.00,36.36,4,0.00144
6,50.00,36.36,4,0.00183
6,50.00,36.36,4,0.00234
6,53.33,36.36,4,0.00297
6,56.67,45.45,4,0.00379
6,56.67,45.45,4,0.00483
6,56.67,45.45,4,0.00615
6,50.00,27.27,4,0.00784
6,56.67,36.36,4,0.01
6,40.00,54.55,6,0.0001
6,40.00,54.55,6,0.000127
6,40.00,54.55,6,0.000162
6,40.00,54.55,6,0.000207
6,40.00,54.55,6,0.000264
6,40.00,54.55,6,0.000336
6,40.00,54.55,6,0.000428
6,40.00,54.55,6,0.000546
6,46.67,63.64,6,0.000695
6,46.67,54.55,6,0.000886
6,46.67,63.64,6,0.00113
6,46.67,63.64,6,0.001
6,43.33,45.45,6,0.00144
6,43.33,45.45,6,0.00183
6,43.33,45.45,6,0.00234
6,46.67,63.64,6,0.00297
6,46.67,45.45,6,0.00379
6,53.33,45.45,6,0.00483
6,46.67,54.55,6,0.00615
6,50.00,45.45,6,0.00784
6,46.67,54.55,6,0.01
6,43.33,36.36,8,0.0001
6,43.33,36.36,8,0.000127
6,43.33,36.36,8,0.000162
6,43.33,36.36,8,0.000207
6,43.33,36.36,8,0.000264
6,43.33,36.36,8,0.000336
6,43.33,36.36,8,0.000428
6,43.33,36.36,8,0.000546
6,43.33,36.36,8,0.000695
6,43.33,36.36,8,0.000886
6,43.33,36.36,8,0.00113
6,43.33,36.36,8,0.001
6,43.33,36.36,8,0.00144
6,43.33,36.36,8,0.00183
6,43.33,36.36,8,0.00234
6,43.33,36.36,8,0.00297
6,50.00,18.18,8,0.00379
6,50.00,18.18,8,0.00483
6,53.33,18.18,8,0.00615
6,56.67,27.27,8,0.00784
6,46.67,36.36,8,0.01
6,53.33,63.64,10,0.0001
6,53.33,63.64,10,0.000127
6,53.33,63.64,10,0.000162
6,53.33,63.64,10,0.000207
6,53.33,63.64,10,0.000264
6,53.33,63.64,10,0.000336
6,53.33,63.64,10,0.000428
6,53.33,63.64,10,0.000546
6,53.33,63.64,10,0.000695
6,53.33,63.64,10,0.000886
6,53.33,63.64,10,0.00113
6,53.33,63.64,10,0.001
6,53.33,54.55,10,0.00144
6,53.33,54.55,10,0.00183
6,60.00,27.27,10,0.00234
6,56.67,36.36,10,0.00297
6,60.00,27.27,10,0.00379
6,60.00,36.36,10,0.00483
6,63.33,54.55,10,0.00615
6,63.33,27.27,10,0.00784
6,53.33,27.27,10,0.01
6,46.67,45.45,12,0.0001
6,46.67,45.45,12,0.000127
6,46.67,45.45,12,0.000162
6,46.67,45.45,12,0.000207
6,46.67,45.45,12,0.000264
6,46.67,45.45,12,0.000336
6,40.00,45.45,12,0.000428
6,40.00,45.45,12,0.000546
6,43.33,45.45,12,0.000695
6,43.33,45.45,12,0.000886
6,40.00,45.45,12,0.00113
6,43.33,45.45,12,0.001
6,43.33,45.45,12,0.00144
6,43.33,45.45,12,0.00183
6,43.33,45.45,12,0.00234
6,43.33,45.45,12,0.00297
6,43.33,36.36,12,0.00379
6,43.33,36.36,12,0.00483
6,40.00,36.36,12,0.00615
6,43.33,27.27,12,0.00784
6,50.00,27.27,12,0.01
6,43.33,54.55,14,0.0001
6,43.33,54.55,14,0.000127
6,43.33,54.55,14,0.000162
6,43.33,54.55,14,0.000207
6,43.33,54.55,14,0.000264
6,43.33,54.55,14,0.000336
6,43.33,54.55,14,0.000428
6,43.33,54.55,14,0.000546
6,43.33,54.55,14,0.000695
6,43.33,54.55,14,0.000886
6,43.33,54.55,14,0.00113
6,43.33,54.55,14,0.001
6,43.33,54.55,14,0.00144
6,43.33,54.55,14,0.00183
6,53.33,45.45,14,0.00234
6,53.33,45.45,14,0.00297
6,53.33,36.36,14,0.00379
6,53.33,36.36,14,0.00483
6,56.67,36.36,14,0.00615
6,53.33,36.36,14,0.00784
6,53.33,27.27,14,0.01
6,46.67,36.36,16,0.0001
6,46.67,36.36,16,0.000127
6,43.33,36.36,16,0.000162
6,43.33,36.36,16,0.000207
6,43.33,36.36,16,0.000264
6,43.33,36.36,16,0.000336
6,43.33,36.36,16,0.000428
6,43.33,36.36,16,0.000546
6,46.67,36.36,16,0.000695
6,43.33,36.36,16,0.000886
6,43.33,36.36,16,0.00113
6,46.67,36.36,16,0.001
6,46.67,36.36,16,0.00144
6,43.33,36.36,16,0.00183
6,43.33,36.36,16,0.00234
6,46.67,27.27,16,0.00297
6,43.33,27.27,16,0.00379
6,43.33,27.27,16,0.00483
6,43.33,27.27,16,0.00615
6,40.00,18.18,16,0.00784
6,43.33,27.27,16,0.01
6,46.67,63.64,18,0.0001
