seed,val %,test %,h_size,l_rate
18,53.33,36.36,2,0.0001
18,53.33,36.36,2,0.000127
18,53.33,36.36,2,0.000162
18,53.33,36.36,2,0.000207
18,53.33,36.36,2,0.000264
18,53.33,36.36,2,0.000336
18,53.33,36.36,2,0.000428
18,53.33,36.36,2,0.000546
18,53.33,36.36,2,0.000695
18,53.33,36.36,2,0.000886
18,53.33,36.36,2,0.00113
18,53.33,36.36,2,0.001
18,53.33,36.36,2,0.00144
18,53.33,54.55,2,0.00183
18,53.33,54.55,2,0.00234
18,53.33,54.55,2,0.00297
18,53.33,54.55,2,0.00379
18,53.33,54.55,2,0.00483
18,53.33,54.55,2,0.00615
18,50.00,63.64,2,0.00784
18,53.33,54.55,2,0.01
18,53.33,45.45,4,0.0001
18,53.33,45.45,4,0.000127
18,53.33,45.45,4,0.000162
18,53.33,45.45,4,0.000207
18,53.33,45.45,4,0.000264
18,53.33,45.45,4,0.000336
18,53.33,45.45,4,0.000428
18,53.33,45.45,4,0.000546
18,53.33,45.45,4,0.000695
18,53.33,45.45,4,0.000886
18,46.67,54.55,4,0.00113
18,53.33,45.45,4,0.001
18,46.67,63.64,4,0.00144
18,46.67,63.64,4,0.00183
18,46.67,63.64,4,0.00234
18,46.67,63.64,4,0.00297
18,46.67,63.64,4,0.00379
18,46.67,63.64,4,0.00483
18,46.67,54.55,4,0.00615
18,46.67,63.64,4,0.00784
18,46.67,63.64,4,0.01
18,63.33,54.55,6,0.0001
18,63.33,54.55,6,0.000127
18,63.33,54.55,6,0.000162
18,63.33,54.55,6,0.000207
18,63.33,54.55,6,0.000264
18,63.33,54.55,6,0.000336
18,63.33,54.55,6,0.000428
18,63.33,54.55,6,0.000546
18,63.33,54.55,6,0.000695
18,53.33,54.55,6,0.000886
18,53.33,45.45,6,0.00113
18,53.33,45.45,6,0.001
18,50.00,54.55,6,0.00144
18,50.00,54.55,6,0.00183
18,53.33,36.36,6,0.00234
