seed,val %,test %,h_size,l_rate
15,46.67,45.45,2,0.0001
15,46.67,45.45,2,0.000127
15,46.67,45.45,2,0.000162
15,46.67,45.45,2,0.000207
15,46.67,45.45,2,0.000264
15,46.67,45.45,2,0.000336
15,46.67,45.45,2,0.000428
15,46.67,45.45,2,0.000546
15,46.67,45.45,2,0.000695
15,46.67,45.45,2,0.000886
15,40.00,45.45,2,0.00113
15,40.00,36.36,2,0.001
15,53.33,27.27,2,0.00144
15,56.67,27.27,2,0.00183
15,56.67,27.27,2,0.00234
15,53.33,27.27,2,0.00297
15,56.67,27.27,2,0.00379
15,56.67,27.27,2,0.00483
15,56.67,27.27,2,0.00615
15,50.00,36.36,2,0.00784
15,56.67,27.27,2,0.01
15,36.67,36.36,4,0.0001
15,36.67,36.36,4,0.000127
15,36.67,36.36,4,0.000162
15,36.67,36.36,4,0.000207
15,36.67,36.36,4,0.000264
15,36.67,36.36,4,0.000336
15,33.33,36.36,4,0.000428
15,40.00,27.27,4,0.000546
15,40.00,27.27,4,0.000695
15,40.00,18.18,4,0.000886
15,40.00,18.18,4,0.00113
15,40.00,18.18,4,0.001
15,40.00,18.18,4,0.00144
15,40.00,18.18,4,0.00183
15,40.00,18.18,4,0.00234
15,36.67,27.27,4,0.00297
15,36.67,27.27,4,0.00379
15,36.67,18.18,4,0.00483
15,40.00,18.18,4,0.00615
15,40.00,54.55,4,0.00784
15,40.00,54.55,4,0.01
15,40.00,63.64,6,0.0001
15,40.00,63.64,6,0.000127
15,40.00,63.64,6,0.000162
15,40.00,63.64,6,0.000207
15,40.00,63.64,6,0.000264
15,40.00,63.64,6,0.000336
15,40.00,63.64,6,0.000428
15,40.00,63.64,6,0.000546
15,40.00,63.64,6,0.000695
15,40.00,63.64,6,0.000886
15,40.00,63.64,6,0.00113
15,40.00,63.64,6,0.001
15,40.00,72.73,6,0.00144
15,40.00,72.73,6,0.00183
15,40.00,72.73,6,0.00234
15,40.00,72.73,6,0.00297
15,40.00,72.73,6,0.00379
15,40.00,72.73,6,0.00483
15,43.33,72.73,6,0.00615
15,40.00,54.55,6,0.00784
15,36.67,63.64,6,0.01
15,46.67,63.64,8,0.0001
15,46.67,63.64,8,0.000127
15,46.67,63.64,8,0.000162
15,46.67,63.64,8,0.000207
15,46.67,63.64,8,0.000264
15,46.67,63.64,8,0.000336
15,46.67,63.64,8,0.000428
15,46.67,63.64,8,0.000546
15,46.67,63.64,8,0.000695
15,46.67,63.64,8,0.000886
15,46.67,63.64,8,0.00113
15,46.67,63.64,8,0.001
15,46.67,63.64,8,0.00144
15,43.33,63.64,8,0.00183
15,40.00,63.64,8,0.00234
15,40.00,63.64,8,0.00297
15,40.00,72.73,8,0.00379
15,40.00,72.73,8,0.00483
15,36.67,54.55,8,0.00615
15,40.00,54.55,8,0.00784
15,40.00,45.45,8,0.01
