seed,val %,test %,h_size,l_rate
9,40.00,36.36,2,0.0001
9,40.00,36.36,2,0.000127
9,40.00,36.36,2,0.000162
9,40.00,36.36,2,0.000207
9,40.00,36.36,2,0.000264
9,40.00,36.36,2,0.000336
9,40.00,36.36,2,0.000428
9,40.00,36.36,2,0.000546
9,40.00,36.36,2,0.000695
9,40.00,36.36,2,0.000886
9,40.00,36.36,2,0.00113
9,40.00,36.36,2,0.001
9,40.00,27.27,2,0.00144
9,40.00,27.27,2,0.00183
9,36.67,27.27,2,0.00234
9,36.67,27.27,2,0.00297
9,33.33,18.18,2,0.00379
9,33.33,18.18,2,0.00483
9,36.67,18.18,2,0.00615
9,43.33,36.36,2,0.00784
9,36.67,18.18,2,0.01
9,46.67,54.55,4,0.0001
9,46.67,54.55,4,0.000127
9,46.67,54.55,4,0.000162
9,46.67,54.55,4,0.000207
9,46.67,54.55,4,0.000264
9,46.67,54.55,4,0.000336
9,46.67,54.55,4,0.000428
9,46.67,54.55,4,0.000546
9,46.67,54.55,4,0.000695
9,46.67,54.55,4,0.000886
9,43.33,54.55,4,0.00113
9,46.67,54.55,4,0.001
9,43.33,54.55,4,0.00144
9,50.00,72.73,4,0.00183
9,50.00,72.73,4,0.00234
9,50.00,72.73,4,0.00297
9,50.00,72.73,4,0.00379
9,50.00,72.73,4,0.00483
9,50.00,72.73,4,0.00615
9,46.67,72.73,4,0.00784
9,46.67,63.64,4,0.01
9,50.00,36.36,6,0.0001
9,50.00,36.36,6,0.000127
9,50.00,36.36,6,0.000162
9,50.00,36.36,6,0.000207
9,50.00,36.36,6,0.000264
9,53.33,36.36,6,0.000336
9,53.33,36.36,6,0.000428
9,53.33,36.36,6,0.000546
9,53.33,36.36,6,0.000695
9,53.33,36.36,6,0.000886
9,53.33,36.36,6,0.00113
9,53.33,36.36,6,0.001
9,53.33,36.36,6,0.00144
9,53.33,36.36,6,0.00183
9,53.33,36.36,6,0.00234
9,53.33,36.36,6,0.00297
9,46.67,36.36,6,0.00379
9,46.67,36.36,6,0.00483
9,46.67,36.36,6,0.00615
9,46.67,45.45,6,0.00784
9,53.33,54.55,6,0.01
9,43.33,54.55,8,0.0001
9,43.33,54.55,8,0.000127
9,43.33,54.55,8,0.000162
9,43.33,54.55,8,0.000207
9,43.33,54.55,8,0.000264
9,43.33,54.55,8,0.000336
9,43.33,54.55,8,0.000428
9,43.33,54.55,8,0.000546
9,43.33,54.55,8,0.000695
9,43.33,54.55,8,0.000886
9,43.33,54.55,8,0.00113
9,43.33,54.55,8,0.001
9,43.33,54.55,8,0.00144
9,43.33,54.55,8,0.00183
9,40.00,54.55,8,0.00234
9,40.00,54.55,8,0.00297
9,40.00,54.55,8,0.00379
9,43.33,54.55,8,0.00483
9,43.33,54.55,8,0.00615
9,46.67,54.55,8,0.00784
9,40.00,45.45,8,0.01
9,56.67,36.36,10,0.0001
9,56.67,36.36,10,0.000127
9,56.67,36.36,10,0.000162
9,56.67,36.36,10,0.000207
9,56.67,36.36,10,0.000264
9,56.67,36.36,10,0.000336
9,56.67,36.36,10,0.000428
9,56.67,36.36,10,0.000546
9,56.67,36.36,10,0.000695
9,56.67,36.36,10,0.000886
9,56.67,36.36,10,0.00113
9,56.67,36.36,10,0.001
9,56.67,45.45,10,0.00144
9,56.67,36.36,10,0.00183
9,56.67,45.45,10,0.00234
9,50.00,36.36,10,0.00297
9,56.67,45.45,10,0.00379
9,46.67,27.27,10,0.00483
9,46.67,36.36,10,0.00615
9,46.67,27.27,10,0.00784
9,50.00,27.27,10,0.01
9,50.00,36.36,12,0.0001
9,46.67,36.36,12,0.000127
9,46.67,36.36,12,0.000162
9,46.67,36.36,12,0.000207
9,46.67,36.36,12,0.000264
9,46.67,36.36,12,0.000336
9,46.67,36.36,12,0.000428
9,46.67,36.36,12,0.000546
9,46.67,36.36,12,0.000695
9,46.67,36.36,12,0.000886
9,46.67,36.36,12,0.00113
9,46.67,36.36,12,0.001
9,46.67,36.36,12,0.00144
9,46.67,36.36,12,0.00183
9,46.67,45.45,12,0.00234
9,46.67,45.45,12,0.00297
9,46.67,45.45,12,0.00379
9,46.67,45.45,12,0.00483
9,50.00,36.36,12,0.00615
9,53.33,54.55,12,0.00784
9,53.33,54.55,12,0.01
9,46.67,45.45,14,0.0001
9,46.67,45.45,14,0.000127
9,46.67,45.45,14,0.000162
9,46.67,45.45,14,0.000207
9,46.67,45.45,14,0.000264
9,46.67,54.55,14,0.000336
9,46.67,54.55,14,0.000428
9,53.33,54.55,14,0.000546
9,53.33,54.55,14,0.000695
9,53.33,54.55,14,0.000886
9,53.33,54.55,14,0.00113
9,53.33,54.55,14,0.001
9,53.33,54.55,14,0.00144
9,53.33,54.55,14,0.00183
9,53.33,54.55,14,0.00234
9,53.33,54.55,14,0.00297
9,53.33,54.55,14,0.00379
9,53.33,63.64,14,0.00483
9,53.33,63.64,14,0.00615
9,56.67,54.55,14,0.00784
9,60.00,63.64,14,0.01
9,60.00,63.64,16,0.0001
9,60.00,63.64,16,0.000127
9,60.00,63.64,16,0.000162
9,60.00,63.64,16,0.000207
9,60.00,63.64,16,0.000264
9,60.00,63.64,16,0.000336
9,60.00,63.64,16,0.000428
9,60.00,63.64,16,0.000546
9,60.00,63.64,16,0.000695
9,60.00,63.64,16,0.000886
9,60.00,63.64,16,0.00113
9,60.00,63.64,16,0.001
9,60.00,63.64,16,0.00144
9,60.00,63.64,16,0.00183
9,60.00,63.64,16,0.00234
9,60.00,63.64,16,0.00297
9,56.67,54.55,16,0.00379
9,56.67,45.45,16,0.00483
9,56.67,45.45,16,0.00615
9,53.33,54.55,16,0.00784
9,56.67,63.64,16,0.01
9,53.33,45.45,18,0.0001
9,53.33,45.45,18,0.000127
9,53.33,45.45,18,0.000162
9,53.33,45.45,18,0.000207
9,53.33,45.45,18,0.000264
9,53.33,45.45,18,0.000336
9,53.33,45.45,18,0.000428
9,50.00,36.36,18,0.000546
9,50.00,36.36,18,0.000695
9,50.00,36.36,18,0.000886
9,50.00,36.36,18,0.00113
