seed,val %,test %,h_size,l_rate
1,50.00,54.55,2,0.0001
1,50.00,54.55,2,0.000127
1,50.00,54.55,2,0.000162
1,50.00,54.55,2,0.000207
1,50.00,54.55,2,0.000264
1,50.00,54.55,2,0.000336
1,50.00,54.55,2,0.000428
1,50.00,54.55,2,0.000546
1,50.00,54.55,2,0.000695
1,50.00,54.55,2,0.000886
1,50.00,54.55,2,0.00113
1,50.00,54.55,2,0.001
1,50.00,54.55,2,0.00144
1,50.00,54.55,2,0.00183
1,50.00,54.55,2,0.00234
1,50.00,54.55,2,0.00297
1,50.00,54.55,2,0.00379
1,40.00,54.55,2,0.00483
1,40.00,72.73,2,0.00615
1,43.33,54.55,2,0.00784
1,43.33,54.55,2,0.01
1,56.67,36.36,4,0.0001
1,56.67,36.36,4,0.000127
1,56.67,36.36,4,0.000162
1,56.67,36.36,4,0.000207
1,56.67,36.36,4,0.000264
1,56.67,36.36,4,0.000336
1,56.67,36.36,4,0.000428
1,56.67,36.36,4,0.000546
1,56.67,36.36,4,0.000695
1,56.67,45.45,4,0.000886
1,60.00,45.45,4,0.00113
1,56.67,45.45,4,0.001
1,56.67,45.45,4,0.00144
1,60.00,45.45,4,0.00183
1,56.67,45.45,4,0.00234
1,43.33,54.55,4,0.00297
1,60.00,45.45,4,0.00379
1,43.33,54.55,4,0.00483
1,40.00,45.45,4,0.00615
1,56.67,54.55,4,0.00784
1,53.33,45.45,4,0.01
1,56.67,45.45,6,0.0001
1,56.67,45.45,6,0.000127
1,56.67,45.45,6,0.000162
1,56.67,45.45,6,0.000207
1,60.00,45.45,6,0.000264
1,66.67,63.64,6,0.000336
1,63.33,63.64,6,0.000428
1,66.67,63.64,6,0.000546
1,66.67,72.73,6,0.000695
1,66.67,72.73,6,0.000886
1,66.67,72.73,6,0.00113
1,66.67,72.73,6,0.001
1,70.00,63.64,6,0.00144
1,70.00,63.64,6,0.00183
1,70.00,63.64,6,0.00234
1,66.67,63.64,6,0.00297
1,73.33,72.73,6,0.00379
1,66.67,81.82,6,0.00483
1,70.00,63.64,6,0.00615
1,70.00,81.82,6,0.00784
1,63.33,72.73,6,0.01
1,43.33,27.27,8,0.0001
1,43.33,27.27,8,0.000127
1,43.33,27.27,8,0.000162
1,43.33,27.27,8,0.000207
1,43.33,27.27,8,0.000264
1,43.33,27.27,8,0.000336
1,43.33,27.27,8,0.000428
1,43.33,27.27,8,0.000546
1,43.33,27.27,8,0.000695
1,43.33,27.27,8,0.000886
1,43.33,27.27,8,0.00113
1,46.67,27.27,8,0.001
1,43.33,18.18,8,0.00144
1,46.67,36.36,8,0.00183
1,46.67,36.36,8,0.00234
1,46.67,36.36,8,0.00297
1,46.67,36.36,8,0.00379
1,46.67,36.36,8,0.00483
1,46.67,36.36,8,0.00615
1,53.33,45.45,8,0.00784
1,46.67,36.36,8,0.01
1,70.00,54.55,10,0.0001
1,70.00,54.55,10,0.000127
1,70.00,54.55,10,0.000162
1,70.00,54.55,10,0.000207
1,70.00,54.55,10,0.000264
1,70.00,54.55,10,0.000336
1,70.00,54.55,10,0.000428
1,70.00,63.64,10,0.000546
1,73.33,63.64,10,0.000695
1,73.33,63.64,10,0.000886
1,73.33,63.64,10,0.00113
1,73.33,63.64,10,0.001
1,70.00,63.64,10,0.00144
1,70.00,63.64,10,0.00183
1,70.00,63.64,10,0.00234
1,56.67,72.73,10,0.00297
1,53.33,63.64,10,0.00379
1,53.33,72.73,10,0.00483
1,56.67,63.64,10,0.00615
1,56.67,63.64,10,0.00784
1,50.00,63.64,10,0.01
1,60.00,36.36,12,0.0001
1,60.00,36.36,12,0.000127
1,60.00,36.36,12,0.000162
1,60.00,36.36,12,0.000207
1,56.67,36.36,12,0.000264
1,56.67,36.36,12,0.000336
1,56.67,36.36,12,0.000428
1,56.67,36.36,12,0.000546
1,56.67,45.45,12,0.000695
1,56.67,45.45,12,0.000886
1,56.67,45.45,12,0.00113
1,56.67,45.45,12,0.001
1,56.67,36.36,12,0.00144
1,60.00,36.36,12,0.00183
1,53.33,36.36,12,0.00234
1,46.67,36.36,12,0.00297
1,43.33,45.45,12,0.00379
1,43.33,45.45,12,0.00483
1,46.67,45.45,12,0.00615
1,46.67,45.45,12,0.00784
1,43.33,45.45,12,0.01
1,53.33,54.55,14,0.0001
1,53.33,54.55,14,0.000127
1,53.33,54.55,14,0.000162
1,53.33,54.55,14,0.000207
1,53.33,54.55,14,0.000264
1,53.33,54.55,14,0.000336
1,53.33,54.55,14,0.000428
1,53.33,54.55,14,0.000546
1,53.33,54.55,14,0.000695
1,56.67,54.55,14,0.000886
1,56.67,54.55,14,0.00113
1,56.67,54.55,14,0.001
1,43.33,72.73,14,0.00144
1,40.00,63.64,14,0.00183
1,43.33,72.73,14,0.00234
1,40.00,54.55,14,0.00297
1,43.33,72.73,14,0.00379
1,43.33,63.64,14,0.00483
1,40.00,54.55,14,0.00615
1,43.33,54.55,14,0.00784
1,43.33,45.45,14,0.01
1,63.33,45.45,16,0.0001
1,60.00,45.45,16,0.000127
1,60.00,45.45,16,0.000162
1,60.00,45.45,16,0.000207
1,60.00,45.45,16,0.000264
1,60.00,45.45,16,0.000336
1,60.00,45.45,16,0.000428
1,60.00,45.45,16,0.000546
1,60.00,45.45,16,0.000695
1,60.00,45.45,16,0.000886
1,63.33,45.45,16,0.00113
1,63.33,45.45,16,0.001
1,60.00,45.45,16,0.00144
1,60.00,45.45,16,0.00183
1,70.00,45.45,16,0.00234
1,70.00,45.45,16,0.00297
1,66.67,45.45,16,0.00379
1,66.67,45.45,16,0.00483
1,63.33,45.45,16,0.00615
1,50.00,36.36,16,0.00784
1,56.67,36.36,16,0.01
1,56.67,45.45,18,0.0001
1,56.67,45.45,18,0.000127
1,53.33,45.45,18,0.000162
1,53.33,45.45,18,0.000207
