seed,val %,test %,h_size,l_rate
20,56.67,27.27,2,0.0001
20,56.67,27.27,2,0.000127
20,56.67,27.27,2,0.000162
20,56.67,27.27,2,0.000207
20,56.67,27.27,2,0.000264
20,56.67,27.27,2,0.000336
20,56.67,27.27,2,0.000428
20,56.67,27.27,2,0.000546
20,53.33,36.36,2,0.000695
20,53.33,36.36,2,0.000886
20,50.00,36.36,2,0.00113
20,53.33,36.36,2,0.001
20,50.00,36.36,2,0.00144
20,53.33,36.36,2,0.00183
20,50.00,36.36,2,0.00234
20,50.00,45.45,2,0.00297
20,53.33,36.36,2,0.00379
20,50.00,36.36,2,0.00483
20,50.00,54.55,2,0.00615
20,50.00,63.64,2,0.00784
20,36.67,63.64,2,0.01
20,46.67,63.64,4,0.0001
20,46.67,63.64,4,0.000127
20,46.67,63.64,4,0.000162
20,46.67,63.64,4,0.000207
20,46.67,63.64,4,0.000264
20,46.67,63.64,4,0.000336
20,46.67,63.64,4,0.000428
20,46.67,63.64,4,0.000546
20,46.67,63.64,4,0.000695
20,46.67,72.73,4,0.000886
20,46.67,72.73,4,0.00113
20,46.67,72.73,4,0.001
20,46.67,72.73,4,0.00144
20,46.67,72.73,4,0.00183
20,46.67,72.73,4,0.00234
20,43.33,63.64,4,0.00297
20,46.67,54.55,4,0.00379
20,46.67,54.55,4,0.00483
20,43.33,54.55,4,0.00615
20,50.00,45.45,4,0.00784
20,36.67,45.45,4,0.01
20,46.67,81.82,6,0.0001
20,46.67,81.82,6,0.000127
20,46.67,81.82,6,0.000162
20,46.67,81.82,6,0.000207
20,46.67,81.82,6,0.000264
20,43.33,81.82,6,0.000336
20,40.00,81.82,6,0.000428
20,40.00,81.82,6,0.000546
20,40.00,81.82,6,0.000695
20,40.00,81.82,6,0.000886
20,36.67,81.82,6,0.00113
20,40.00,81.82,6,0.001
20,36.67,81.82,6,0.00144
20,43.33,72.73,6,0.00183
20,43.33,72.73,6,0.00234
20,43.33,72.73,6,0.00297
20,43.33,72.73,6,0.00379
20,46.67,63.64,6,0.00483
20,46.67,63.64,6,0.00615
20,46.67,54.55,6,0.00784
20,46.67,63.64,6,0.01
20,46.67,45.45,8,0.0001
20,46.67,45.45,8,0.000127
20,46.67,45.45,8,0.000162
20,50.00,45.45,8,0.000207
20,50.00,45.45,8,0.000264
20,50.00,45.45,8,0.000336
20,56.67,45.45,8,0.000428
20,56.67,45.45,8,0.000546
20,56.67,45.45,8,0.000695
20,56.67,45.45,8,0.000886
20,56.67,45.45,8,0.00113
20,56.67,45.45,8,0.001
20,56.67,45.45,8,0.00144
20,60.00,54.55,8,0.00183
20,60.00,54.55,8,0.00234
20,60.00,54.55,8,0.00297
20,63.33,54.55,8,0.00379
20,60.00,54.55,8,0.00483
20,56.67,54.55,8,0.00615
