seed,val %,test %,h_size,l_rate
4,40.00,36.36,2,0.0001
4,40.00,36.36,2,0.000127
4,40.00,36.36,2,0.000162
4,40.00,36.36,2,0.000207
4,40.00,36.36,2,0.000264
4,40.00,36.36,2,0.000336
4,40.00,36.36,2,0.000428
4,40.00,36.36,2,0.000546
4,40.00,36.36,2,0.000695
4,40.00,36.36,2,0.000886
4,40.00,36.36,2,0.00113
4,40.00,36.36,2,0.001
4,40.00,36.36,2,0.00144
4,40.00,36.36,2,0.00183
4,36.67,36.36,2,0.00234
4,50.00,54.55,2,0.00297
4,50.00,54.55,2,0.00379
4,50.00,54.55,2,0.00483
4,50.00,54.55,2,0.00615
4,50.00,54.55,2,0.00784
4,50.00,54.55,2,0.01
4,40.00,36.36,4,0.0001
4,40.00,36.36,4,0.000127
4,40.00,36.36,4,0.000162
4,40.00,36.36,4,0.000207
4,40.00,36.36,4,0.000264
4,40.00,36.36,4,0.000336
4,40.00,36.36,4,0.000428
4,40.00,36.36,4,0.000546
4,40.00,36.36,4,0.000695
4,40.00,36.36,4,0.000886
4,40.00,27.27,4,0.00113
4,40.00,27.27,4,0.001
4,40.00,27.27,4,0.00144
4,40.00,27.27,4,0.00183
4,40.00,27.27,4,0.00234
4,40.00,45.45,4,0.00297
4,43.33,45.45,4,0.00379
4,43.33,45.45,4,0.00483
4,43.33,45.45,4,0.00615
4,40.00,45.45,4,0.00784
4,46.67,45.45,4,0.01
4,56.67,54.55,6,0.0001
4,56.67,54.55,6,0.000127
4,56.67,54.55,6,0.000162
4,56.67,54.55,6,0.000207
4,56.67,54.55,6,0.000264
4,56.67,54.55,6,0.000336
4,56.67,54.55,6,0.000428
4,56.67,54.55,6,0.000546
4,56.67,54.55,6,0.000695
4,56.67,54.55,6,0.000886
4,56.67,54.55,6,0.00113
4,56.67,54.55,6,0.001
4,56.67,54.55,6,0.00144
4,56.67,54.55,6,0.00183
4,56.67,54.55,6,0.00234
4,56.67,45.45,6,0.00297
4,56.67,36.36,6,0.00379
4,56.67,36.36,6,0.00483
4,50.00,63.64,6,0.00615
4,43.33,45.45,6,0.00784
4,36.67,45.45,6,0.01
4,56.67,45.45,8,0.0001
4,56.67,45.45,8,0.000127
4,56.67,45.45,8,0.000162
4,56.67,45.45,8,0.000207
4,56.67,45.45,8,0.000264
4,56.67,45.45,8,0.000336
4,56.67,45.45,8,0.000428
4,56.67,45.45,8,0.000546
4,56.67,45.45,8,0.000695
4,56.67,45.45,8,0.000886
4,56.67,45.45,8,0.00113
4,56.67,45.45,8,0.001
4,56.67,45.45,8,0.00144
4,63.33,45.45,8,0.00183
4,63.33,45.45,8,0.00234
4,63.33,45.45,8,0.00297
4,56.67,45.45,8,0.00379
4,63.33,45.45,8,0.00483
4,60.00,45.45,8,0.00615
4,60.00,45.45,8,0.00784
4,63.33,54.55,8,0.01
4,56.67,36.36,10,0.0001
4,56.67,36.36,10,0.000127
4,56.67,36.36,10,0.000162
4,56.67,36.36,10,0.000207
4,56.67,36.36,10,0.000264
4,56.67,36.36,10,0.000336
4,56.67,36.36,10,0.000428
4,56.67,36.36,10,0.000546
4,56.67,36.36,10,0.000695
4,56.67,36.36,10,0.000886
4,60.00,36.36,10,0.00113
4,56.67,36.36,10,0.001
4,60.00,36.36,10,0.00144
4,60.00,36.36,10,0.00183
4,56.67,36.36,10,0.00234
4,56.67,36.36,10,0.00297
4,56.67,36.36,10,0.00379
4,56.67,45.45,10,0.00483
4,56.67,45.45,10,0.00615
4,50.00,45.45,10,0.00784
4,56.67,36.36,10,0.01
4,53.33,36.36,12,0.0001
4,53.33,36.36,12,0.000127
