seed,val %,test %
0,56.67,63.64
1,70.00,63.64
2,46.67,45.45
3,43.33,54.55
4,50.00,63.64
5,53.33,36.36
6,46.67,54.55
7,50.00,81.82
8,56.67,54.55
9,46.67,36.36
10,46.67,63.64
11,70.00,54.55
12,43.33,54.55
13,50.00,54.55
14,53.33,81.82
15,43.33,72.73
16,50.00,63.64
17,50.00,63.64
18,50.00,36.36
19,46.67,63.64
20,46.67,63.64
21,46.67,54.55
22,53.33,63.64
23,60.00,54.55
24,40.00,45.45
25,60.00,72.73
26,46.67,45.45
27,43.33,27.27
28,43.33,36.36
29,50.00,81.82
30,43.33,54.55
31,50.00,63.64
32,53.33,54.55
33,50.00,63.64
34,46.67,54.55
35,56.67,45.45
36,46.67,36.36
37,50.00,54.55
38,56.67,36.36
39,46.67,54.55
40,60.00,45.45
41,43.33,54.55
42,50.00,54.55
43,40.00,72.73
44,46.67,54.55
45,63.33,63.64
46,53.33,72.73
47,56.67,81.82
48,53.33,54.55
49,36.67,54.55
50,63.33,72.73
51,46.67,45.45
52,43.33,45.45
53,33.33,36.36
54,53.33,63.64
55,50.00,72.73
56,60.00,63.64
57,46.67,63.64
58,43.33,54.55
59,50.00,63.64
60,46.67,54.55
61,43.33,36.36
62,60.00,81.82
63,43.33,63.64
64,56.67,72.73
65,56.67,54.55
66,40.00,18.18
67,36.67,72.73
68,50.00,54.55
69,43.33,54.55
70,43.33,63.64
71,43.33,63.64
72,63.33,72.73
73,40.00,45.45
74,46.67,54.55
75,40.00,63.64
76,50.00,63.64
77,46.67,63.64
78,60.00,72.73
79,43.33,45.45
80,56.67,81.82
81,50.00,45.45
82,46.67,54.55
83,46.67,36.36
84,36.67,63.64
85,60.00,45.45
86,50.00,63.64
87,53.33,54.55
88,50.00,72.73
89,40.00,45.45
90,63.33,27.27
91,43.33,27.27
92,46.67,36.36
93,50.00,45.45
94,50.00,63.64
95,53.33,45.45
96,50.00,72.73
97,46.67,63.64
98,50.00,36.36
99,60.00,27.27
