seed,val %,test %
0,63.33,72.73
1,63.33,45.45
2,46.67,45.45
3,50.00,45.45
4,56.67,54.55
5,63.33,63.64
6,46.67,36.36
7,46.67,45.45
8,66.67,45.45
9,60.00,63.64
10,70.00,72.73
11,60.00,54.55
12,46.67,36.36
13,60.00,36.36
14,53.33,63.64
15,60.00,54.55
16,50.00,45.45
17,53.33,63.64
18,53.33,45.45
19,53.33,45.45
20,40.00,63.64
21,56.67,54.55
22,56.67,45.45
23,40.00,45.45
24,50.00,36.36
25,40.00,45.45
26,56.67,54.55
27,50.00,45.45
28,56.67,45.45
29,60.00,54.55
30,56.67,45.45
31,56.67,54.55
32,46.67,45.45
33,46.67,36.36
34,60.00,36.36
35,46.67,45.45
36,46.67,36.36
37,50.00,54.55
38,60.00,54.55
39,56.67,45.45
40,53.33,72.73
41,56.67,54.55
42,60.00,54.55
43,53.33,45.45
44,46.67,54.55
45,50.00,45.45
46,53.33,45.45
47,33.33,36.36
48,56.67,45.45
49,43.33,27.27
50,40.00,45.45
51,53.33,54.55
52,53.33,45.45
53,43.33,54.55
54,50.00,63.64
55,46.67,45.45
56,40.00,27.27
57,43.33,54.55
58,53.33,63.64
59,53.33,45.45
60,53.33,45.45
61,66.67,63.64
62,46.67,45.45
63,43.33,63.64
64,40.00,54.55
65,46.67,54.55
66,50.00,45.45
67,46.67,72.73
68,43.33,54.55
69,60.00,45.45
70,56.67,54.55
71,50.00,63.64
72,50.00,54.55
73,43.33,72.73
74,56.67,63.64
75,60.00,72.73
76,43.33,72.73
77,50.00,63.64
78,56.67,72.73
79,50.00,54.55
80,60.00,63.64
81,43.33,54.55
82,56.67,54.55
83,36.67,45.45
84,63.33,36.36
85,43.33,72.73
86,46.67,45.45
87,60.00,72.73
88,43.33,36.36
89,50.00,54.55
90,53.33,45.45
91,63.33,45.45
92,40.00,63.64
93,56.67,54.55
94,50.00,54.55
95,46.67,63.64
96,66.67,63.64
97,50.00,63.64
98,53.33,72.73
99,50.00,45.45
