seed,val %,test %,h_size,l_rate
5,56.67,54.55,2,0.0001
5,56.67,54.55,2,0.000127
5,56.67,54.55,2,0.000162
5,56.67,54.55,2,0.000207
5,56.67,54.55,2,0.000264
5,60.00,54.55,2,0.000336
5,60.00,54.55,2,0.000428
5,60.00,54.55,2,0.000546
5,56.67,63.64,2,0.000695
5,56.67,63.64,2,0.000886
5,56.67,63.64,2,0.00113
5,56.67,63.64,2,0.001
5,56.67,72.73,2,0.00144
5,56.67,63.64,2,0.00183
5,56.67,63.64,2,0.00234
5,56.67,72.73,2,0.00297
5,53.33,72.73,2,0.00379
5,56.67,63.64,2,0.00483
5,56.67,72.73,2,0.00615
5,53.33,72.73,2,0.00784
5,53.33,63.64,2,0.01
5,53.33,54.55,4,0.0001
5,53.33,54.55,4,0.000127
5,53.33,54.55,4,0.000162
5,53.33,54.55,4,0.000207
5,53.33,54.55,4,0.000264
5,53.33,54.55,4,0.000336
5,53.33,54.55,4,0.000428
5,53.33,54.55,4,0.000546
5,53.33,54.55,4,0.000695
5,53.33,54.55,4,0.000886
5,53.33,54.55,4,0.00113
5,53.33,54.55,4,0.001
5,53.33,54.55,4,0.00144
5,53.33,54.55,4,0.00183
5,53.33,54.55,4,0.00234
5,53.33,54.55,4,0.00297
5,53.33,54.55,4,0.00379
5,50.00,45.45,4,0.00483
5,46.67,54.55,4,0.00615
5,46.67,54.55,4,0.00784
5,43.33,54.55,4,0.01
5,56.67,45.45,6,0.0001
5,56.67,45.45,6,0.000127
5,56.67,45.45,6,0.000162
5,56.67,45.45,6,0.000207
5,56.67,45.45,6,0.000264
5,56.67,45.45,6,0.000336
5,56.67,45.45,6,0.000428
5,60.00,36.36,6,0.000546
5,60.00,36.36,6,0.000695
5,60.00,63.64,6,0.000886
5,56.67,36.36,6,0.00113
5,56.67,54.55,6,0.001
5,56.67,54.55,6,0.00144
5,60.00,54.55,6,0.00183
5,56.67,54.55,6,0.00234
5,56.67,54.55,6,0.00297
5,56.67,63.64,6,0.00379
5,53.33,63.64,6,0.00483
5,53.33,36.36,6,0.00615
5,53.33,54.55,6,0.00784
5,56.67,63.64,6,0.01
5,56.67,45.45,8,0.0001
5,56.67,45.45,8,0.000127
5,56.67,45.45,8,0.000162
5,56.67,45.45,8,0.000207
5,56.67,45.45,8,0.000264
5,56.67,45.45,8,0.000336
5,56.67,45.45,8,0.000428
5,56.67,45.45,8,0.000546
5,56.67,45.45,8,0.000695
5,56.67,45.45,8,0.000886
5,63.33,45.45,8,0.00113
5,56.67,45.45,8,0.001
5,63.33,54.55,8,0.00144
5,63.33,54.55,8,0.00183
5,56.67,54.55,8,0.00234
5,60.00,54.55,8,0.00297
5,60.00,54.55,8,0.00379
5,63.33,54.55,8,0.00483
5,53.33,54.55,8,0.00615
5,66.67,45.45,8,0.00784
5,56.67,54.55,8,0.01
5,56.67,36.36,10,0.0001
5,56.67,36.36,10,0.000127
5,56.67,36.36,10,0.000162
5,56.67,36.36,10,0.000207
5,56.67,36.36,10,0.000264
5,56.67,36.36,10,0.000336
5,56.67,36.36,10,0.000428
5,53.33,45.45,10,0.000546
5,53.33,45.45,10,0.000695
5,53.33,45.45,10,0.000886
5,53.33,45.45,10,0.00113
5,53.33,45.45,10,0.001
5,53.33,45.45,10,0.00144
5,53.33,45.45,10,0.00183
5,40.00,27.27,10,0.00234
5,53.33,45.45,10,0.00297
5,53.33,36.36,10,0.00379
5,43.33,36.36,10,0.00483
5,40.00,27.27,10,0.00615
5,40.00,27.27,10,0.00784
5,33.33,27.27,10,0.01
