seed,val %,test %
0,63.33,72.73
1,63.33,45.45
2,50.00,45.45
3,53.33,36.36
4,66.67,45.45
5,63.33,45.45
6,46.67,36.36
7,46.67,36.36
8,60.00,45.45
9,60.00,63.64
10,66.67,63.64
11,46.67,63.64
12,53.33,63.64
13,60.00,36.36
14,50.00,63.64
15,43.33,54.55
16,53.33,54.55
17,53.33,54.55
18,53.33,45.45
19,53.33,45.45
20,40.00,63.64
21,43.33,36.36
22,60.00,45.45
23,40.00,45.45
24,50.00,36.36
25,40.00,45.45
26,53.33,45.45
27,43.33,54.55
28,60.00,54.55
29,56.67,63.64
30,56.67,45.45
31,56.67,54.55
32,50.00,45.45
33,40.00,27.27
34,60.00,45.45
35,56.67,45.45
36,50.00,45.45
37,50.00,54.55
38,56.67,54.55
39,56.67,45.45
40,53.33,72.73
41,56.67,54.55
42,60.00,54.55
43,53.33,45.45
44,46.67,54.55
45,46.67,54.55
46,50.00,45.45
47,53.33,45.45
48,66.67,45.45
49,43.33,27.27
50,43.33,36.36
51,53.33,45.45
52,46.67,45.45
53,43.33,54.55
54,50.00,72.73
55,46.67,54.55
56,43.33,36.36
57,53.33,63.64
58,56.67,63.64
59,53.33,54.55
60,53.33,54.55
61,56.67,54.55
62,53.33,45.45
63,50.00,54.55
64,43.33,45.45
65,50.00,54.55
66,43.33,45.45
67,43.33,63.64
68,43.33,45.45
69,63.33,45.45
70,53.33,45.45
71,53.33,63.64
72,56.67,54.55
73,50.00,72.73
74,56.67,54.55
75,50.00,54.55
76,43.33,72.73
77,50.00,63.64
78,53.33,72.73
79,50.00,54.55
80,56.67,63.64
81,43.33,54.55
82,56.67,54.55
83,36.67,45.45
84,63.33,36.36
85,46.67,63.64
86,43.33,36.36
87,60.00,72.73
88,43.33,45.45
89,40.00,63.64
90,56.67,54.55
91,56.67,36.36
92,40.00,63.64
93,60.00,45.45
94,50.00,54.55
95,50.00,36.36
96,56.67,54.55
97,50.00,63.64
98,60.00,63.64
99,46.67,45.45
