seed,val %,test %
0,46.67,54.55
1,56.67,36.36
2,53.33,72.73
3,40.00,72.73
4,63.33,45.45
5,60.00,63.64
6,43.33,54.55
7,53.33,36.36
8,40.00,54.55
9,50.00,36.36
10,53.33,72.73
11,56.67,18.18
12,56.67,45.45
13,56.67,45.45
14,50.00,72.73
15,53.33,72.73
16,40.00,72.73
17,53.33,54.55
18,40.00,45.45
19,50.00,45.45
20,46.67,36.36
21,53.33,72.73
22,66.67,54.55
23,46.67,81.82
24,46.67,45.45
25,56.67,45.45
26,50.00,36.36
27,56.67,72.73
28,60.00,36.36
29,43.33,54.55
30,53.33,63.64
31,56.67,45.45
32,53.33,45.45
33,43.33,36.36
34,46.67,63.64
35,53.33,45.45
36,56.67,63.64
37,53.33,54.55
38,43.33,72.73
39,53.33,36.36
40,50.00,54.55
41,53.33,27.27
42,53.33,36.36
43,50.00,54.55
44,46.67,36.36
45,50.00,54.55
46,36.67,63.64
47,50.00,45.45
48,60.00,54.55
49,63.33,63.64
50,46.67,27.27
51,43.33,63.64
52,50.00,72.73
53,50.00,36.36
54,56.67,54.55
55,53.33,63.64
56,46.67,63.64
57,56.67,36.36
58,46.67,45.45
59,53.33,63.64
60,43.33,63.64
61,40.00,36.36
62,56.67,54.55
63,43.33,45.45
64,46.67,27.27
65,43.33,36.36
66,50.00,18.18
67,43.33,90.91
68,53.33,45.45
69,43.33,54.55
70,50.00,72.73
71,50.00,54.55
72,50.00,54.55
73,46.67,54.55
74,63.33,45.45
75,46.67,63.64
76,50.00,81.82
77,53.33,72.73
78,33.33,63.64
79,46.67,54.55
80,60.00,63.64
81,36.67,27.27
82,50.00,45.45
83,40.00,54.55
84,53.33,45.45
85,36.67,45.45
86,43.33,45.45
87,40.00,45.45
88,43.33,54.55
89,50.00,45.45
90,50.00,63.64
91,53.33,54.55
92,53.33,36.36
93,56.67,63.64
94,36.67,54.55
95,50.00,63.64
96,56.67,63.64
97,46.67,54.55
98,40.00,81.82
99,33.33,63.64
