seed,val %,test %,h_size,l_rate
2,43.33,36.36,2,0.0001
2,43.33,36.36,2,0.000127
2,43.33,36.36,2,0.000162
2,43.33,36.36,2,0.000207
2,43.33,36.36,2,0.000264
2,43.33,36.36,2,0.000336
2,43.33,36.36,2,0.000428
2,43.33,36.36,2,0.000546
2,43.33,36.36,2,0.000695
2,43.33,36.36,2,0.000886
2,43.33,36.36,2,0.00113
2,43.33,36.36,2,0.001
2,43.33,36.36,2,0.00144
2,43.33,36.36,2,0.00183
2,43.33,36.36,2,0.00234
2,43.33,36.36,2,0.00297
2,43.33,45.45,2,0.00379
2,43.33,45.45,2,0.00483
2,43.33,45.45,2,0.00615
2,40.00,45.45,2,0.00784
2,40.00,45.45,2,0.01
2,53.33,45.45,4,0.0001
2,53.33,45.45,4,0.000127
2,53.33,45.45,4,0.000162
2,53.33,45.45,4,0.000207
2,53.33,45.45,4,0.000264
2,53.33,45.45,4,0.000336
2,53.33,45.45,4,0.000428
2,53.33,45.45,4,0.000546
2,53.33,45.45,4,0.000695
2,53.33,45.45,4,0.000886
2,53.33,45.45,4,0.00113
2,53.33,45.45,4,0.001
2,53.33,45.45,4,0.00144
2,53.33,45.45,4,0.00183
2,53.33,45.45,4,0.00234
2,53.33,45.45,4,0.00297
2,53.33,36.36,4,0.00379
2,56.67,36.36,4,0.00483
2,56.67,45.45,4,0.00615
2,56.67,45.45,4,0.00784
2,56.67,45.45,4,0.01
2,43.33,27.27,6,0.0001
2,43.33,27.27,6,0.000127
2,43.33,27.27,6,0.000162
2,43.33,27.27,6,0.000207
2,43.33,27.27,6,0.000264
2,43.33,27.27,6,0.000336
2,43.33,27.27,6,0.000428
2,43.33,27.27,6,0.000546
2,43.33,27.27,6,0.000695
2,43.33,27.27,6,0.000886
2,43.33,27.27,6,0.00113
2,43.33,27.27,6,0.001
2,43.33,27.27,6,0.00144
2,43.33,27.27,6,0.00183
2,43.33,18.18,6,0.00234
2,43.33,18.18,6,0.00297
2,46.67,45.45,6,0.00379
2,46.67,45.45,6,0.00483
2,46.67,45.45,6,0.00615
2,46.67,45.45,6,0.00784
2,46.67,45.45,6,0.01
2,33.33,36.36,8,0.0001
2,33.33,36.36,8,0.000127
2,33.33,36.36,8,0.000162
2,33.33,36.36,8,0.000207
2,33.33,36.36,8,0.000264
2,33.33,36.36,8,0.000336
2,33.33,36.36,8,0.000428
2,33.33,36.36,8,0.000546
2,33.33,36.36,8,0.000695
2,33.33,27.27,8,0.000886
2,33.33,27.27,8,0.00113
2,33.33,27.27,8,0.001
2,33.33,27.27,8,0.00144
2,36.67,27.27,8,0.00183
2,36.67,36.36,8,0.00234
2,36.67,36.36,8,0.00297
2,40.00,36.36,8,0.00379
2,33.33,45.45,8,0.00483
2,40.00,45.45,8,0.00615
2,36.67,54.55,8,0.00784
2,40.00,54.55,8,0.01
2,46.67,45.45,10,0.0001
2,46.67,45.45,10,0.000127
2,46.67,45.45,10,0.000162
2,46.67,45.45,10,0.000207
2,46.67,45.45,10,0.000264
2,50.00,45.45,10,0.000336
2,50.00,45.45,10,0.000428
2,50.00,45.45,10,0.000546
2,50.00,45.45,10,0.000695
2,50.00,45.45,10,0.000886
2,50.00,45.45,10,0.00113
2,50.00,45.45,10,0.001
2,50.00,45.45,10,0.00144
2,46.67,45.45,10,0.00183
2,46.67,45.45,10,0.00234
2,46.67,45.45,10,0.00297
2,46.67,45.45,10,0.00379
2,43.33,54.55,10,0.00483
2,43.33,45.45,10,0.00615
2,43.33,45.45,10,0.00784
2,43.33,45.45,10,0.01
2,60.00,27.27,12,0.0001
2,60.00,27.27,12,0.000127
2,60.00,27.27,12,0.000162
2,60.00,27.27,12,0.000207
2,60.00,27.27,12,0.000264
2,60.00,27.27,12,0.000336
2,60.00,27.27,12,0.000428
2,63.33,27.27,12,0.000546
2,63.33,27.27,12,0.000695
2,63.33,27.27,12,0.000886
2,63.33,27.27,12,0.00113
2,63.33,27.27,12,0.001
2,63.33,27.27,12,0.00144
2,56.67,27.27,12,0.00183
2,56.67,27.27,12,0.00234
2,56.67,27.27,12,0.00297
2,56.67,27.27,12,0.00379
2,56.67,27.27,12,0.00483
2,53.33,36.36,12,0.00615
2,56.67,36.36,12,0.00784
2,53.33,27.27,12,0.01
2,50.00,54.55,14,0.0001
2,50.00,54.55,14,0.000127
2,50.00,54.55,14,0.000162
2,50.00,45.45,14,0.000207
2,46.67,45.45,14,0.000264
2,46.67,45.45,14,0.000336
2,46.67,45.45,14,0.000428
2,46.67,45.45,14,0.000546
2,46.67,45.45,14,0.000695
2,46.67,45.45,14,0.000886
2,46.67,45.45,14,0.00113
2,46.67,45.45,14,0.001
2,46.67,45.45,14,0.00144
2,46.67,54.55,14,0.00183
2,46.67,54.55,14,0.00234
2,46.67,54.55,14,0.00297
2,46.67,54.55,14,0.00379
2,46.67,63.64,14,0.00483
2,46.67,63.64,14,0.00615
2,50.00,72.73,14,0.00784
2,50.00,54.55,14,0.01
2,50.00,45.45,16,0.0001
2,50.00,45.45,16,0.000127
2,50.00,45.45,16,0.000162
2,50.00,45.45,16,0.000207
2,46.67,45.45,16,0.000264
2,46.67,45.45,16,0.000336
2,46.67,45.45,16,0.000428
2,46.67,45.45,16,0.000546
2,46.67,45.45,16,0.000695
2,46.67,45.45,16,0.000886
2,46.67,54.55,16,0.00113
2,46.67,45.45,16,0.001
2,46.67,45.45,16,0.00144
2,53.33,54.55,16,0.00183
2,53.33,54.55,16,0.00234
2,53.33,45.45,16,0.00297
2,46.67,54.55,16,0.00379
2,53.33,63.64,16,0.00483
2,50.00,63.64,16,0.00615
2,50.00,63.64,16,0.00784
2,46.67,63.64,16,0.01
2,46.67,72.73,18,0.0001
2,50.00,72.73,18,0.000127
2,50.00,72.73,18,0.000162
2,50.00,72.73,18,0.000207
2,50.00,72.73,18,0.000264
2,50.00,72.73,18,0.000336
2,50.00,72.73,18,0.000428
2,50.00,72.73,18,0.000546
2,50.00,72.73,18,0.000695
2,53.33,72.73,18,0.000886
2,53.33,72.73,18,0.00113
2,53.33,72.73,18,0.001
2,53.33,72.73,18,0.00144
2,53.33,72.73,18,0.00183
2,53.33,72.73,18,0.00234
2,53.33,72.73,18,0.00297
2,53.33,72.73,18,0.00379
2,46.67,72.73,18,0.00483
2,46.67,72.73,18,0.00615
2,53.33,72.73,18,0.00784
2,50.00,54.55,18,0.01
2,46.67,54.55,20,0.0001
2,46.67,54.55,20,0.000127
2,46.67,54.55,20,0.000162
2,43.33,63.64,20,0.000207
2,43.33,63.64,20,0.000264
2,43.33,63.64,20,0.000336
2,43.33,63.64,20,0.000428
2,43.33,63.64,20,0.000546
2,46.67,54.55,20,0.000695
2,46.67,54.55,20,0.000886
2,43.33,54.55,20,0.00113
2,40.00,54.55,20,0.001
2,43.33,54.55,20,0.00144
2,43.33,54.55,20,0.00183
2,43.33,54.55,20,0.00234
2,43.33,54.55,20,0.00297
2,43.33,54.55,20,0.00379
2,46.67,54.55,20,0.00483
2,46.67,54.55,20,0.00615
2,40.00,54.55,20,0.00784
2,40.00,45.45,20,0.01
